Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Amit Kakkar Photography,4.9,Race Course,45 reviews,Photo + Video,"50,000",per day,,,https://www.instagram.com/amitkakkarphotography/?hl=en,https://www.facebook.com/Amitkakkarphotography/,
Rewind stories,5.0,Garhi Cantt,28 reviews,Photo + Video,"65,000",per day,,,https://www.instagram.com/therewindstories/?hl=en,https://www.facebook.com/auraphotographyindia/,
High Tide Photography,4.8,Ballupur,27 reviews,Photo + Video,"1,00,000",per day,,,https://www.instagram.com/photographyhightide/?hl=en,https://www.facebook.com/hightide7/,
Cupid Love stories,4.9,Thakurpur,25 reviews,Photo + Video,"1,40,000",per day,,,https://www.instagram.com/cupidlovestories/?hl=en,https://www.facebook.com/cupidlovestories/,
Tushar Batra Films,4.9,Ballupur,17 reviews,Photo + Video,"1,10,000",per day,,,https://www.instagram.com/tusharbatrafilms/?hl=en,https://www.facebook.com/tusharbatrafilms/,
Camlition Productions,5.0,Dehradun,20 reviews,Photo + Video,"1,60,000",per day,,,https://www.instagram.com/camlition_productions/?hl=en,https://www.facebook.com/camlitionproductions/,
Balaji Photography,5.0,Kanwali,24 reviews,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/pages/category/Photographer/Balaji-Photography-862160694172501/,
Garry Photography,4.9,Dehradun,22 reviews,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/garryphotographyddn/,
Lights And Shadows Studios,5.0,Aamwala,35 reviews,Photo + Video,"75,000",per day,,,None,https://www.facebook.com/LightsAndShadowsStudios/,
Rohini Studio,5.0,Dehradun,10 reviews,Photo + Video,"35,000",per day,,,https://www.instagram.com/rohinistudio_photography/,https://www.facebook.com/rohinistudio/,
Creating Tales,5.0,Dehradun,9 reviews,Photo + Video,"80,000",per day,,,https://www.instagram.com/creatingtales/?hl=en,https://www.facebook.com/creatingtales/,
5 Keys Studio,5.0,Chironwali,11 reviews,Photo + Video,"50,000",per day,,,None,https://www.facebook.com/5keysstudio/,
